Country,"Viruses, spyware or malware (excluding ransomware)","Phishing, account takeover or impersonation attacks",Hacking (or attempts to hack) online bank accounts,Unauthorised accessing of files or networks,Ransomware,Denial of service attacks,Unauthorised listening in to video conferences or instant messages,Any other breaches or attacks
EU27,14,11,4,4,4,3,2,5
BE,16,20,4,4,5,4,0,4
BG,8,12,3,4,2,3,1,6
CZ,28,10,9,8,8,6,2,8
DK,2,10,3,2,1,1,0,2
DE,5,6,2,4,2,2,1,2
EE,6,26,4,1,1,1,0,2
IE,9,11,6,4,8,4,4,4
EL,16,27,12,4,7,3,3,8
ES,12,4,5,2,2,3,0,3
FR,12,6,3,2,3,1,1,3
HR,16,4,3,6,11,3,1,4
IT,17,15,2,5,4,2,2,4
CY,8,16,4,2,5,2,0,1
LV,13,12,6,8,6,4,1,7
LT,13,8,4,5,3,8,1,7
LU,12,7,6,8,5,3,4,3
HU,17,14,3,5,4,4,0,4
MT,10,12,4,3,3,3,4,2
NL,17,21,3,6,5,3,1,4
AT,5,6,6,3,2,6,3,4
PL,13,11,8,5,4,6,5,7
PT,21,14,9,14,9,8,6,10
RO,14,8,4,3,4,2,3,3
SI,12,8,3,5,8,2,2,4
SK,22,15,9,5,5,5,1,8
FI,11,20,3,1,6,5,0,5
SE,5,7,3,2,2,1,0,5
