Country,Use at least one ICT security measure,Make persons employed aware of their obligations in ICT security,"Have documents on measures, practices or procedures on ICT security",The enterprise's ICT security documents were defined or reviewed within the last 12 months,Experienced ICT related security incidents leading to some consequences in 2023,Uses Strong Password (%),Percentage of Businesses Attacked
Belgium,96.12,62.82,40.31,,22.28,90.0,22.28
Germany,96.5,68.02,40.25,25.69,25.069999999999997,89.14,25.07
Ireland,86.22,69.16,46.16,,13.320000000000002,75.05,13.32
Spain,89.92,57.14,30.72,21.48,15.88,82.54,15.88
France,93.2,48.13,23.35,14.000000000000002,24.95,82.18,24.95
Italy,92.92,62.67,35.92,,15.78,86.6,15.78
Luxembourg,86.8,54.120000000000005,29.93,,16.669999999999998,79.8,16.67
Netherlands,95.75,50.01,41.510000000000005,32.23,25.75,82.79,25.75
Austria,95.38,61.07,29.1,20.72,11.52,80.64,11.52
Portugal,95.62,65.63,54.290000000000006,42.01,12.659999999999998,88.58,12.66
